title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
"Crazy, Stupid, Love.","$84,351,197",Warner Bros.,"July 29, 2011",Comedy,1 hrs. 47 min.,$50 million,PG-13,FOREIGN TOTAL,-,7/28/11,n/a,-,"$58,500,000",10/23/11,Hungary,InterCom,9/1/11,"$122,837",30.3%,"$405,016",10/9/11
Battle: Los Angeles,"$83,552,429",Sony / Columbia,"March 11, 2011",Sci-Fi Action,1 hrs. 56 min.,$70 million,PG-13,FOREIGN TOTAL,-,3/9/11,"$16,117,704",12.6%,"$128,266,925",10/16/11,Hungary,InterCom,3/17/11,"$192,108",50.2%,"$382,619",4/10/11
Immortals,"$83,504,017",Relativity,"November 11, 2011",Fantasy Drama,1 hrs. 50 min.,$75 million,R,FOREIGN TOTAL,-,11/10/11,"$38,000,000",26.5%,"$143,400,000",3/11/12,Hungary,-,11/10/11,"$182,082",31.9%,"$570,563",12/18/11
The Descendants,"$82,584,160",Fox Searchlight,"November 16, 2011",Comedy / Drama,1 hrs. 55 min.,N/A,R,FOREIGN TOTAL,-,1/12/12,"$2,380,000",2.5%,"$94,659,025",7/9/12,Hungary,InterCom,2/16/12,"$72,363",39.8%,"$181,760",3/4/12
Zookeeper,"$80,360,843",Sony / Columbia,"July 8, 2011",Comedy,1 hrs. 44 min.,$80 million,PG,FOREIGN TOTAL,-,7/7/11,"$7,045,434",7.9%,"$89,491,916",11/6/11,Hungary,InterCom,7/21/11,"$180,396",34.7%,"$519,290",8/21/11
War Horse,"$79,884,879",Buena Vista,"December 25, 2011",War,2 hrs. 26 min.,$66 million,PG-13,FOREIGN TOTAL,-,12/26/11,"$4,000,000",4.1%,"$97,700,000",4/8/12,Hungary,Forum,2/9/12,"$26,070",100%,"$26,070",2/12/12
Limitless,"$79,249,455",Relativity,"March 18, 2011",Action Thriller,1 hrs. 45 min.,$27 million,PG-13,FOREIGN TOTAL,-,3/17/11,"$5,153,354",6.2%,"$82,600,000",10/16/11,Hungary,-,4/7/11,"$90,456",30%,"$301,244",5/8/11
Tower Heist,"$78,046,570",Universal,"November 4, 2011",Comedy,1 hrs. 44 min.,$75 million,PG-13,FOREIGN TOTAL,-,11/3/11,"$9,254,237",12.4%,"$74,884,053",2/19/12,Hungary,UIP,11/10/11,"$122,323",34.4%,"$355,433",12/4/11
The Adventures of Tintin,"$77,591,831",Paramount,"December 21, 2011",Animation,1 hrs. 41 min.,N/A,PG,FOREIGN TOTAL,-,10/26/11,"$56,163,778",18.9%,"$296,402,120",3/4/12,Hungary,InterCom,11/3/11,"$110,393",47.9%,"$230,558",11/27/11
Contagion,"$75,658,097",Warner Bros.,"September 9, 2011",Action Thriller,1 hrs. 45 min.,$60 million,PG-13,FOREIGN TOTAL,-,9/8/11,"$2,100,000",3.5%,"$59,800,000",11/20/11,Hungary,InterCom,10/13/11,"$97,329",32.8%,"$296,332",11/20/11
We Bought a Zoo,"$75,624,550",Fox,"December 23, 2011",Comedy / Drama,2 hrs. 4 min.,N/A,PG,FOREIGN TOTAL,-,12/22/11,"$998,024",2.2%,"$44,457,291",7/1/12,Hungary,Fox,3/22/12,"$27,868",20.6%,"$135,079",4/22/12
Moneyball,"$75,605,492",Sony / Columbia,"September 23, 2011",Sports Drama,2 hrs. 6 min.,$50 million,PG-13,FOREIGN TOTAL,-,10/14/11,"$437,218",1.3%,"$34,600,724",2/26/12,Hungary,InterCom,12/8/11,"$21,065",100%,"$21,065",12/11/11
Jack and Jill,"$74,158,157",Sony / Columbia,"November 11, 2011",Comedy,1 hrs. 31 min.,$79 million,PG,FOREIGN TOTAL,-,11/10/11,"$2,899,617",3.8%,"$75,515,631",3/25/12,Hungary,InterCom,12/29/11,"$180,262",30.9%,"$583,068",1/29/12
Hugo,"$73,864,507",Paramount,"November 23, 2011",Family Adventure,2 hrs. 7 min.,N/A,PG,FOREIGN TOTAL,-,12/2/11,"$2,103,559",1.9%,"$111,905,653",6/10/12,Hungary,UIP,3/1/12,"$41,648",39.5%,"$105,388",3/18/12
