title,dtg,dist,release,genre,runtime,budget,rating,foreign,foreign_dist,foreign_release,foreign_opening,foreign_pct,foreign_total,foreign_asof,hungary,hun_dist,hun_release,hun_opening,hun_pct,hun_total,hun_asof
Couples Retreat,"$109,204,945",Universal,"October 9, 2009",Comedy,1 hrs. 47 min.,$70 million,PG-13,FOREIGN TOTAL,-,10/8/09,"$2,919,969",4.7%,"$62,639,895",5/16/10,Hungary,UIP,11/5/09,"$217,953",27.5%,"$793,952",1/10/10
Paranormal Activity,"$107,918,810",Paramount,"September 25, 2009",Horror,1 hrs. 39 min.,"$15,000",R,FOREIGN TOTAL,-,1/13/09,n/a,-,"$85,436,990",8/15/10,Hungary,Intersonic,11/19/09,"$23,571",100%,"$23,571",11/22/09
Watchmen,"$107,509,799",Warner Bros.,"March 6, 2009",Action / Adventure,2 hrs. 43 min.,$130 million,R,FOREIGN TOTAL,-,3/4/09,"$27,072,518",34.8%,"$77,749,184",11/1/09,Hungary,UIP - Duna,3/5/09,"$100,767",40.8%,"$246,933",4/5/09
The Princess and the Frog,"$104,400,899",Buena Vista,"November 25, 2009",Animation,1 hrs. 35 min.,$105 million,G,FOREIGN TOTAL,-,12/3/09,"$151,909",0.1%,"$162,644,866",12/19/10,Hungary,Forum Films,12/24/09,"$169,862",21.3%,"$796,787",1/24/10
Public Enemies,"$97,104,620",Universal,"July 1, 2009",Crime Drama,2 hrs. 23 min.,$100 million,R,FOREIGN TOTAL,-,6/24/09,n/a,-,"$117,000,000",1/10/10,Hungary,UIP,7/16/09,"$95,811",30.4%,"$314,754",8/16/09
Julie & Julia,"$94,125,426",Sony / Columbia,"August 7, 2009",Comedy / Drama,2 hrs. 3 min.,$40 million,PG-13,FOREIGN TOTAL,-,8/6/09,"$3,177",0%,"$35,415,073",7/18/10,Hungary,InterCom,10/15/09,"$60,646",25.6%,"$236,959",11/15/09
He's Just Not That Into You,"$93,953,653",Warner Bros. (New Line),"February 6, 2009",Romantic Comedy,2 hrs. 9 min.,N/A,PG-13,FOREIGN TOTAL,-,2/5/09,"$3,182,712",3.7%,"$84,893,246",11/8/09,Hungary,WB,2/26/09,"$133,015",23.4%,"$567,349",4/26/09
The Ugly Truth,"$88,915,214",Sony / Columbia,"July 24, 2009",Romantic Comedy,1 hrs. 36 min.,$38 million,R,FOREIGN TOTAL,-,7/23/09,"$15,785",0%,"$116,383,693",2/7/10,Hungary,InterCom,10/1/09,"$188,444",20.9%,"$900,001",11/22/09
Up in the Air,"$83,823,381",Paramount,"December 4, 2009",Comedy / Drama,1 hrs. 49 min.,$25 million,R,FOREIGN TOTAL,-,2/26/09,n/a,-,"$83,019,358",8/2/10,Hungary,UIP,2/18/10,"$99,165",27.6%,"$359,390",3/28/10
Knowing,"$79,957,634",Summit Entertainment,"March 20, 2009",Drama / Thriller,2 hrs. 2 min.,$50 million,PG-13,FOREIGN TOTAL,-,5/16/07,n/a,-,"$103,635,952",11/29/09,Hungary,Forum Films,6/11/09,"$95,753",28.6%,"$334,447",7/26/09
Hannah Montana The Movie,"$79,576,189",Buena Vista,"April 10, 2009",Family Comedy,1 hrs. 32 min.,N/A,G,FOREIGN TOTAL,-,4/8/09,"$97,034",0.1%,"$75,969,090",10/18/09,Hungary,Forum Films,4/23/09,"$136,074",30.6%,"$444,391",6/14/09
Zombieland,"$75,590,286",Sony / Columbia,"October 2, 2009",Horror Comedy,1 hrs. 21 min.,$23.6 million,R,FOREIGN TOTAL,-,10/1/09,"$5,132",0%,"$26,801,254",10/31/10,Hungary,InterCom,11/25/09,"$47,122",39.6%,"$118,861",12/20/09
Coraline,"$75,286,229",Focus Features,"February 6, 2009",Animation,1 hrs. 40 min.,$60 million,PG,FOREIGN TOTAL,-,2/5/09,"$1,426,633",2.9%,"$49,310,169",3/7/10,Hungary,UIP - Duna,3/12/09,"$30,541",40.2%,"$75,925",4/5/09
Law Abiding Citizen,"$73,357,727",Overture Films,"October 16, 2009",Thriller,1 hrs. 48 min.,$50 million,R,FOREIGN TOTAL,-,10/16/09,"$162,535",0.3%,"$53,332,999",11/14/10,Hungary,Palace,12/3/09,"$89,898",28.5%,"$315,732",1/10/10
Hotel for Dogs,"$73,034,460",Paramount (DreamWorks),"January 16, 2009",Family,1 hrs. 40 min.,N/A,PG,FOREIGN TOTAL,-,1/15/09,"$798,011",1.8%,"$43,965,738",11/1/09,Hungary,UIP - Duna,2/26/09,"$66,468",25.8%,"$257,327",4/5/09
Michael Jackson's This Is It,"$72,091,016",Sony / Columbia,"October 28, 2009",Concert,2 hrs. 1 min.,N/A,PG,FOREIGN TOTAL,-,10/28/09,"$51,362,851",27.2%,"$189,092,572",7/11/10,Hungary,InterCom,10/29/09,"$245,894",34.4%,"$714,733",11/29/09
"I Love You, Man","$71,440,011",Paramount (DreamWorks),"March 20, 2009",Comedy,1 hrs. 50 min.,N/A,R,FOREIGN TOTAL,-,4/9/09,"$20,331",0.1%,"$20,196,975",11/8/09,Hungary,UIP,4/16/09,-,-,"$203,718",5/24/09
Obsessed,"$68,261,644",Sony / Screen Gems,"April 24, 2009",Thriller,1 hrs. 45 min.,$20 million,PG-13,FOREIGN TOTAL,-,4/23/09,"$87,746",1.6%,"$5,568,696",10/25/09,Hungary,-,6/18/09,-,-,n/a,N/A
Race to Witch Mountain,"$67,172,594",Buena Vista,"March 13, 2009",Family Adventure,1 hrs. 39 min.,N/A,PG,FOREIGN TOTAL,-,3/11/09,"$1,175,029",3%,"$39,214,547",8/23/09,Hungary,Forum Films,3/26/09,"$88,509",33.4%,"$264,865",5/3/09
The Final Destination,"$66,477,700",Warner Bros. (New Line),"August 28, 2009",Horror,1 hrs. 22 min.,$40 million,R,FOREIGN TOTAL,-,8/20/09,n/a,-,"$119,689,439",7/4/10,Hungary,InterCom,9/10/09,"$203,001",22.9%,"$886,236",11/1/09
The Taking of Pelham 1 2 3,"$65,452,312",Sony / Columbia,"June 12, 2009",Action Thriller,2 hrs. 1 min.,$100 million,R,FOREIGN TOTAL,-,6/10/09,"$2,440,524",2.9%,"$84,713,814",3/20/11,Hungary,InterCom,9/3/09,"$103,587",30.2%,"$343,490",9/27/09
Friday the 13th,"$65,002,019",Warner Bros. (New Line),"February 13, 2009",Horror,1 hrs. 35 min.,$19 million,R,FOREIGN TOTAL,-,2/11/09,"$9,621,450",36.5%,"$26,377,032",9/13/09,Hungary,-,5/28/09,-,-,n/a,N/A
17 Again,"$64,167,069",Warner Bros. (New Line),"April 17, 2009",Fantasy Comedy,1 hrs. 42 min.,N/A,PG-13,FOREIGN TOTAL,-,4/9/09,"$6,020,811",8.4%,"$72,100,407",9/27/09,Hungary,WB,5/28/09,"$170,234",29.5%,"$576,878",7/19/09
The Time Traveler's Wife,"$63,414,846",Warner Bros. (New Line),"August 14, 2009",Romance,1 hrs. 48 min.,$39 million,PG-13,FOREIGN TOTAL,-,8/14/09,"$2,332,285",6.1%,"$37,929,566",7/18/10,Hungary,InterCom,10/29/09,"$60,047",32.5%,"$185,017",11/22/09
Bruno,"$60,054,530",Universal,"July 10, 2009",Comedy,1 hrs. 28 min.,N/A,R,FOREIGN TOTAL,-,5/29/09,n/a,-,"$78,751,301",12/20/09,Hungary,Forum,7/10/09,"$49,710",28%,"$177,325",8/9/09
Bride Wars,"$58,715,510",Fox,"January 9, 2009",Comedy,1 hrs. 30 min.,$30 million,PG,FOREIGN TOTAL,-,1/7/09,"$2,829,053",5.1%,"$55,947,951",8/10/09,Hungary,InterCom,1/29/09,"$146,129",38.5%,"$379,922",3/22/09
The Haunting in Connecticut,"$55,389,516",Lionsgate,"March 27, 2009",Horror,1 hrs. 32 min.,N/A,PG-13,FOREIGN TOTAL,-,5/16/07,n/a,-,"$22,138,216",8/1/10,Hungary,Forum Films,9/10/09,"$18,657",27.7%,"$67,338",9/20/09
Ghosts of Girlfriends Past,"$55,250,026",Warner Bros. (New Line),"May 1, 2009",Fantasy Comedy,1 hrs. 40 min.,N/A,PG-13,FOREIGN TOTAL,-,5/1/09,"$1,457,119",3.1%,"$46,973,243",2/14/10,Hungary,InterCom,7/9/09,"$81,738",22.4%,"$364,386",8/16/09
My Bloody Valentine 3-D,"$51,545,952",Lionsgate,"January 16, 2009",Horror,1 hrs. 41 min.,$15 million,R,FOREIGN TOTAL,-,1/16/09,"$2,020,753",4.1%,"$49,188,766",5/23/10,Hungary,Forum Films,2/26/09,"$74,456",17.9%,"$414,926",4/26/09
Old Dogs,"$49,492,060",Buena Vista,"November 25, 2009",Family Comedy,1 hrs. 28 min.,$35 million,PG,FOREIGN TOTAL,-,6/4/09,n/a,-,"$47,261,636",7/11/10,Hungary,Forum Films,1/21/10,"$46,053",45.8%,"$100,488",2/7/10
Underworld: Rise of the Lycans,"$45,802,315",Sony / Screen Gems,"January 23, 2009",Action Horror,1 hrs. 32 min.,$35 million,R,FOREIGN TOTAL,-,1/21/09,"$4,824,269",10.6%,"$45,551,186",3/20/11,Hungary,InterCom,1/22/09,"$78,160",39.8%,"$196,276",Final
Confessions of a Shopaholic,"$44,277,350",Buena Vista,"February 13, 2009",Romantic Comedy,1 hrs. 52 min.,N/A,PG,FOREIGN TOTAL,-,2/12/09,"$3,082,351",4.8%,"$64,055,872",8/9/09,Hungary,Forum Films,4/9/09,"$65,834",26.5%,"$248,887",5/10/09
Year One,"$43,337,279",Sony / Columbia,"June 19, 2009",Adventure Comedy,1 hrs. 40 min.,$60 million,PG-13,FOREIGN TOTAL,-,7/24/09,"$117,322",0.6%,"$19,020,621",1/10/10,Hungary,-,9/3/09,-,-,n/a,N/A
The Unborn,"$42,670,410",Universal,"January 9, 2009",Horror,1 hrs. 28 min.,$16 million,PG-13,FOREIGN TOTAL,-,1/9/09,"$211,006",0.6%,"$33,843,640",11/1/09,Hungary,UIP - Duna,3/26/09,"$26,284",41%,"$64,180",4/12/09
Planet 51,"$42,194,060",Sony / Columbia,"November 20, 2009",Animation,1 hrs. 31 min.,$70 million,PG,FOREIGN TOTAL,-,11/19/09,"$3,122,556",4.9%,"$63,453,042",12/5/10,Hungary,Intersonic,1/14/10,"$35,724",100%,"$35,724",1/17/10
Drag Me to Hell,"$42,100,625",Universal,"May 29, 2009",Horror,1 hrs. 39 min.,$30 million,PG-13,FOREIGN TOTAL,-,5/27/09,"$4,892,761",10%,"$48,742,021",10/3/10,Hungary,Budapest,8/13/09,"$34,468",33.1%,"$104,113",9/13/09
Duplicity,"$40,572,825",Universal,"March 20, 2009",Thriller,2 hrs. 5 min.,$60 million,PG-13,FOREIGN TOTAL,-,3/19/09,"$4,096,485",10.9%,"$37,573,827",10/4/09,Hungary,UIP,4/30/09,"$76,352",32.4%,"$235,569",5/31/09
Surrogates,"$38,577,772",Buena Vista,"September 25, 2009",Sci-Fi Action,1 hrs. 29 min.,$80 million,PG-13,FOREIGN TOTAL,-,9/24/09,"$8,681,219",10.4%,"$83,867,000",4/4/10,Hungary,Forum Films,10/1/09,"$147,170",30.2%,"$486,590",11/1/09
State of Play,"$37,017,955",Universal,"April 17, 2009",Thriller,1 hrs. 58 min.,N/A,PG-13,FOREIGN TOTAL,-,4/17/09,"$1,984,517",3.9%,"$50,794,416",11/8/09,Hungary,UIP,5/28/09,"$82,445",41.3%,"$199,794",6/21/09
The Pink Panther 2,"$35,922,978",Sony / Columbia,"February 6, 2009",Action Comedy,1 hrs. 32 min.,$70 million,PG,FOREIGN TOTAL,-,2/5/09,"$380,523",1%,"$40,023,637",2/14/10,Hungary,InterCom,2/12/09,"$90,255",40.9%,"$220,671",Final
The Informant!,"$33,316,821",Warner Bros.,"September 18, 2009",Drama / Thriller,1 hrs. 48 min.,$22 million,R,FOREIGN TOTAL,-,3/27/09,n/a,-,"$8,454,347",2/28/10,Hungary,InterCom,11/25/09,"$43,373",57.3%,"$75,712",12/6/09
The Last House on the Left,"$32,752,215",Universal,"March 13, 2009",Horror,1 hrs. 49 min.,N/A,R,FOREIGN TOTAL,-,4/16/09,"$146,029",1.2%,"$12,534,013",11/8/09,Hungary,UIP,6/18/09,"$22,086",44.7%,"$49,429",6/28/09
The Men Who Stare at Goats,"$32,428,195",Overture Films,"November 6, 2009",Comedy,1 hrs. 30 min.,$25 million,R,FOREIGN TOTAL,-,11/6/09,"$3,774,504",10.3%,"$36,540,493",8/15/10,Hungary,Forum,3/26/10,"$54,920",30.9%,"$177,689",4/25/10
Earth,"$32,011,576",Buena Vista,"April 22, 2009",Documentary,1 hrs. 30 min.,N/A,G,FOREIGN TOTAL,-,10/10/07,"$2,269,598",2.9%,"$76,963,584",11/7/10,Hungary,-,5/1/08,"$7,780",93.2%,"$8,350",5/4/08
Push,"$31,811,527",Summit Entertainment,"February 6, 2009",Sci-Fi Thriller,1 hrs. 51 min.,$38 million,PG-13,FOREIGN TOTAL,-,2/4/09,"$278,980",1.6%,"$17,047,091",11/22/09,Hungary,-,May 2009,-,-,n/a,N/A
Did You Hear About the Morgans?,"$29,580,087",Sony / Columbia,"December 18, 2009",Romantic Comedy,1 hrs. 43 min.,$58 million,PG-13,FOREIGN TOTAL,-,12/24/09,"$996,597",1.8%,"$55,700,163",8/22/10,Hungary,InterCom,1/14/10,"$169,752",33.8%,"$502,513",2/21/10
Dance Flick,"$25,662,155",Paramount,"May 22, 2009",Comedy,1 hrs. 23 min.,$25 million,PG-13,FOREIGN TOTAL,-,8/20/09,"$1,009,191",17.5%,"$5,776,985",12/13/09,Hungary,-,9/24/09,-,-,n/a,N/A
